"I01";"P04";"P05";"P06";"P07";"P08";"P09";"P10";"P11";"P12";"P13_01";"P13_02";"P13_03";"P13_04";"P13_05";"P13_06";"P13_07";"P13_08";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23_01";"P23_02";"P23_03";"P23_04";"P23_05";"P23_06";"P24";"P25_01";"P25_02";"P25_03";"P25_04";"P25_05";"P25_06";"P26_01";"P26_02";"P26_03";"P26_04";"P26_05";"P26_06";"P26_07";"P26_08";"P26_09";"P26_10";"P26_11";"P26_12";"P26_13";"P27_01";"P27_02";"P27_03";"P27_04";"P27_05";"P27_06";"P27_07";"P27_08";"P27_09";"P27_10";"P27_11";"P27_12";"P27_13";"P27_14";"P27_15";"P27_16";"P28";"P29";"P30";"P31_01";"P31_02";"P31_03";"P31_04";"P31_05";"P31_06";"P31_07";"P31_08";"P31_09";"P32";"P34";"P35";"P36";"P38";"VD_IDADE";"VD_RENDA";"VD_RACA";"W1";"W2"
"1";4;"3";"1";"2";"1";"1";"1";"1";"2";"2";"2";"2";"1";"2";"2";"2";"2";"1";"1";"2";"1";"1";"1";"9";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"3";"5";"1";"2";"1";"1.60937484185362";"95049.8392857143"
"2";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"1";"1";"1";"10";"1";"1";"1";"1";"1";"1";"1";"1";"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"2";"3";"3";"2";"1";"1.78347230063695";"105332.052631579"
"3";4;"3";"2";"1";"1";"1";"1";"1";"3";"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"1";"1";"1";"2";"2";"2";"1";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"4";"4";"1";"2";"1";"4";"2";"1";"2.03054666748002";"119724.289473684"
"4";4;"2";"3";"2";"1";"1";"1";"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"2";"1";"2";;"1";"1";"2";"1";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"97";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"1";"7";"4";"3";"97";"2";"0.289786166397034";"17114.8"
"5";4;"2";"2";"1";"1";"1";"1";"1";"4";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"97";"1";"1";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"1";"5";"1";"3";"2.03054666748002";"119724.289473684"
"6";4;"3";"1";"1";"1";"1";"1";"1";"3";"2";"1";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"1";"1";"1";"2";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"2";"2";"2";"2";"2";"2";"1";"2";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"1";"2";"5";"1";"1";"2";"2";"2";"2";"1";"1.78347230063695";"105332.052631579"
"7";4;"2";"2";"2";"1";"1";"1";"1";"3";"1";"1";"2";"2";"2";"2";"2";"2";"1";"3";"2";"1";"2";"2";;"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"1";"5";"1";"1";"1.48971102187896";"87974.2941176471"
"8";4;"1";"3";"3";"3";;;"2";"2";"1";"2";"1";"2";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"4";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"4";"5";"1";"2";"3";"1.70880049734621";"100921.928571429"
"9";4;"2";"1";"2";"2";;;"1";"3";"2";"2";"2";"1";"2";"2";"2";"2";"1";"3";"2";"2";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2";"1";"5";"5";"3";"2";"1";"1.36326731520585";"80514.7041223404"
"10";4;"3";"1";"1";"1";"1";"1";"1";"97";"2";"2";"2";"1";"2";"2";"2";"2";"1";"2";"2";"1";"1";"1";"10";"2";;;;;;;;"2";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"4";"1";"5";"1";"5";"4";"97";"1.17971174874271";"69679.8"
