year,severity_ord,severity_3bin,W
2015,0,0,1.0
2015,0,0,1.0
2015,3,2,1.0
2015,2,2,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,3,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,3,2,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,3,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,3,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,1,1,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,3,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,0,0,1.0
2015,2,2,1.0
2015,2,2,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,0,0,1.0
2015,1,1,1.0
2015,3,2,1.0
2015,0,0,1.0
2015,0,0,1.0
