"ID";"P03";"P04";"P05";"P06";"P07";"P08_1";"P08_2";"P08_3";"P08_4";"P08_5";"P08_6";"P08_7";"P08_8";"P08_9";"P08_10";"P08_11";"P09";"P10";"P11";"P12_01";"P12_02";"P12_03";"P12_04";"P13";"P15";"P16";"P17_1";"P17_2";"P17_3";"P17_4";"P17_5";"P17_6";"P18_A";"P18_D";"P19_1";"P19_2";"P19_3";"P19_4";"P19_5";"P21_A";"P21_B";"P22_A";"P22_B";"P22_C";"P22_D1";"P22_E";"P23";"P25";"P26";"P28_1";"P28_2";"P28_3";"P28_4";"P28_5";"P28_6";"P28_7";"P28_8";"P28_9";"P29";"P30_01";"P30_02";"P30_03";"P30_04";"P30_05";"P30_06";"P30_07";"P30_08";"P30_09";"P30_10";"P30_11";"P30_12";"P33_1";"P33_2";"VD_P35";"P36";"P38";"P39";"P40";"P41";"V08";"V09";"V10";"V11";"V12";"V12_A";"V12_B";"V15";"VD_REGIAO";"VD_IDADE";"VD_RACA";"VD_EDUCACAO";"VD_OCUPACAO";"VD_TRABALHO";"VD_RENDA";"VD_RELIGIAO";"VD_PORTE";"POP_regiao_idade";"POP_regiao_raca";"POP_regiao_edu";"POP_regiao_porte";"W1";"W2"
"1";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;3;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;4;3;1;1;2;1;2;2;2;1;;;3;2;5;2;4;1;"1";1;1;1;2;1265229,88040335;3669920,78366589;1976804,0794201;1954125,97753969;0,182984706628559;4534,25549229278
"2";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;5;1;2;1;1;2;1;3;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;1;1;1;3;1;1;;;;5;4;4;3;1;3;"1";1;97;3;3;2281776,21520491;10072401,6435758;3480847,43992385;2443804,96747532;0,426501513466645;8180,63123796325
"3";3;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;2;3;4;1;1;1;2;2;1;1;1;2;1;2;2;2;1;1;2;2;1;2;2;97;;;;;;;2;2;2;97;97;97;97;97;97;97;97;2;5;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;1;2;1;3;1;2;2;1;;;;5;97;1;3;4;1;"1";1;97;2;2;1349979,57783012;5164153,94647996;2267202,44555839;2828257,81207705;0,239731863563941;11515,8941166617
"4";3;2;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;1;3;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;2;2;1;2;1;1;;1;;;;;1;1;1;2;2;1;2;2;2;2;2;2;5;1;2;1;2;2;2;1;2;2;2;2;2;1;1;3;3;1;1;2;1;4;1;1;;;;2;1;2;3;1;4;"1";1;4;1;2;4595041,07124126;6273888,68778369;4208133,6330169;7731021,03806011;0,580278168423321;14688,6611390481
"5";2;1;2;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;1;1;1;2;2;2;1;1;1;1;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;6;3;1;2;2;1;3;1;1;;;;1;4;1;3;4;3;"1";1;3;3;2;1349979,57783012;5164153,94647996;2358346,69976694;2828257,81207705;0,179930621055583;6290,35733230617
"6";2;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;2;3;1;1;1;1;2;1;1;2;1;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;2;3;1;1;2;2;6;;1;;;;1;4;4;1;1;4;"1";1;4;1;2;2651313,51254732;10072401,6435758;3392772,73855813;5811472,35270075;0,573227083572636;20804,5579123775
"7";2;3;1;2;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;2;2;2;1;1;2;1;1;2;1;2;1;2;1;1;1;2;1;2;1;3;;;;1;;;2;2;2;2;2;2;2;2;2;2;2;1;3;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;2;1;6;1;3;2;2;2;1;2;;4;4;2;1;2;"2";2;4;1;2;2252075,16102183;10072401,6435758;2041883,72723215;5811472,35270075;0,455385003963667;10547,5551902945
"8";3;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;3;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;2;2;1;7;;;;;;;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;1;2;2;1;1;2;4;1;1;;;;5;1;5;1;1;4;"1";1;1;3;3;1628314,05813775;2544897,92588269;1926584,00950762;2810671,34868652;0,333634274987034;8496,53982765699
"9";3;1;1;1;3;1;1;1;1;1;1;1;2;1;0;0;2;2;4;1;1;2;2;2;1;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;2;3;2;2;2;2;2;;1;4;1;1;2;"3";2;3;3;2;2651313,51254732;10072401,6435758;2041883,72723215;5811472,35270075;0,426501513466645;14819,3708038453
"10";3;3;1;1;3;1;1;1;1;1;1;1;2;1;0;0;1;3;3;2;2;1;1;2;2;1;1;2;1;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;;;3;2;1;1;2;1;3;1;2;1;;;5;2;5;3;1;3;"1";1;4;2;3;1357583,87039275;2544897,92588269;1927007,87039979;2810671,34868652;1,0009028249611;26566,6799667659
