"ID";"P08";"P10";"P11";"P12";"P13";"P14";"P15_15";"P15_16";"P15_17";"P15_18";"P15_19";"P15_20";"P15_21";"P22";"P23";"P24_24";"P24_25";"P24_26";"P24_27";"P24_28";"P24_29";"P30";"P31";"P32";"P33_33";"P33_34";"P33_35";"P33_36";"P33_37";"P38";"P39";"P40";"P41_41";"P41_42";"P41_43";"P41_44";"P41_45";"P46";"P47";"P48";"P54";"P55_55";"P55_56";"P55_57";"P55_58";"P55_59";"P62";"P63";"P64_64";"P64_65";"P64_66";"P64_67";"P64_68";"P64_69";"P64_70";"P64_71";"P73_73";"P73_74";"P73_75";"P77_77";"P77_78";"P77_79";"P77_80";"P77_81";"P77_82";"P77_83";"P84_84";"P84_85";"P84_86";"P84_87";"P84_88";"P84_89";"P92";"V03";"V04";"V05";"V06";"V07";"V08";"V09";"V10";"V11";"V11b";"V12";"V12a";"V12B";"V13";"V14";"VD_P49A";"VD_P50A";"VD_P51A";"VD_P52A";"VD_P53A";"VD_P49B";"VD_P50B";"VD_P51B";"VD_P52B";"VD_P53B";"VD_P55B";"VD_P55_60";"VD_P64_72";"VD_P76";"VD_P90";"VD_P92A";"VD_RACA";"VD_REGIAO";"VD_IDADE";"VD_EDUCACAO";"VD_DOMICILIO";"VD_PORTE";"POP_UF_idade";"POP_UF_raca";"POP_UF_edu";"POP_UF_porte";"POP_UF_residencia";"W1";"W2"
"1";31;2;3;2;1;3;1;1;1;1;2;1;1;2;2;1;2;1;1;1;1;2;2;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;97;2;2;2;2;3;1;1;1;1;2;1;;;;;;1;1;97;;;;;;;;;;;;97;2;97;97;;4;3;5;5;1;1;833623;5015084,87690932;2627141,27342489;3374584;7540128,89355486;1,8479769645982;8062,3766745206
"2";23;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;1;2;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;;;;;2;2;2;;;1;1;;;;;;;;;;;;97;2;97;3;;4;2;7;3;2;3;273328;2601054,19631358;272715,430349851;1065900;690075,540324291;0,659691651734968;1294,58803529433
"3";12;3;3;97;1;3;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;97;;;;;;;;2;1;1;;;;;;;;;;;;97;2;97;3;;4;1;8;2;1;2;16328;246918,118890889;62980,1065641402;176659;244953,131703476;0,252770843758742;806,015195126085
"4";23;2;1;1;1;3;1;1;1;2;1;1;2;2;2;1;1;1;1;1;2;2;2;1;1;97;1;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;1;1;;;;;;;2;1;3;;;;;;;;;;;;97;2;97;4;;1;2;5;7;1;3;346024;992168,803686416;475352,262867248;1065900;2903147,45967571;0,659691651734968;742,892485025354
"5";15;3;1;2;1;3;2;1;2;1;1;2;4;2;1;1;1;1;1;2;2;2;3;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;97;97;97;97;97;97;97;97;97;97;97;97;97;6;;97;97;;;;;;97;97;;;97;97;;;;;;;;;;;;97;2;97;97;97;1;1;2;7;2;2;337350;564503,344155671;407101,64506079;1615655;659971,043387907;0,532037117894214;2477,13332068277
"6";22;2;3;1;1;4;2;4;3;4;2;2;1;1;2;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;2;1;2;2;2;1;2;2;3;1;1;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;2;;4;2;2;5;1;3;122311;1038322,56423014;373762,796542349;371619;922649,581990075;0,430248352526104;1016,22884303181
"7";26;1;1;2;2;3;1;1;1;1;3;1;1;2;1;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;2;1;2;;;1;3;;;;;;;;;;;;97;2;97;3;1;1;2;5;7;1;3;368646;1291570,96060967;518376,838814799;943988;3214851,05338958;1,33438737401336;2596,24140487892
"8";35;2;1;2;1;1;3;97;4;4;97;97;97;2;1;1;1;1;1;2;1;2;1;1;2;1;1;1;2;1;1;1;1;2;1;2;1;1;1;1;;2;1;2;1;1;1;1;1;2;1;2;1;2;2;2;3;;2;1;2;2;1;1;2;1;2;1;1;1;2;2;2;2;1;1;1;1;1;;;;;;;1;1;1;1;1;;;;;;;;;2;2;2;97;97;;2;3;10;3;1;2;3062430;7652268,15153127;1383242,17809394;8136323;18265345,6229506;4,4847328660915;17625,2112700167
"9";33;2;1;2;97;3;1;1;2;1;1;2;2;2;2;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;1;1;2;;;;;1;;2;;;2;1;;;;;;;;;;;;97;2;97;4;;5;3;1;5;1;3;979875;3639495,50891637;2414468,13508057;3855378;6815646,96134305;1,61042972658975;14786,942163536
"10";17;2;2;1;1;3;1;1;1;1;1;1;1;1;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;1;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;4;;1;1;1;4;1;1;111075;123370,740711119;45841,1664960021;304737;497867,387793094;0,111757498848312;573,388443500328
"11";35;3;2;2;2;3;1;2;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;1;1;2;;2;;;;;;1;4;3;;;;;;;;;;;;97;2;97;2;0;1;3;8;6;1;2;1433780;11181216,8484687;1028401,50677568;8136323;18265345,6229506;6,24318532748843;7961,87748744246
"12";22;3;3;1;1;3;1;1;1;1;1;2;1;2;1;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;4;1;1;2;;;;;2;2;1;1;2;1;3;;;;;;;;;;;;97;2;97;4;1;4;2;7;7;1;3;97665;1038322,56423014;208363,09659752;371619;922649,581990075;0,215124176263052;472,797275613991
"13";41;1;3;1;1;3;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;1;2;;;;;1;;1;2;1;1;2;;;;;;;;;;;;97;2;97;4;;1;4;3;6;1;2;443806;3116799,95964981;273361,135464139;1961988;4217476,99265909;0,731600762477492;3041,60575874255
"14";28;3;1;1;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;1;1;3;;;1;;;;;1;1;2;;;;;;;;;;;;97;2;97;5;;2;2;2;7;1;1;91442;690607,941093683;142693,223238106;391346;722112,086560352;0,155046549824753;1172,06201385853
"15";27;3;1;1;1;3;4;2;2;1;2;3;2;2;2;1;1;1;2;2;2;2;2;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;1;2;2;;;;;1;;2;;;1;1;;;;;;;;;;;;97;2;97;4;0;4;2;2;5;2;1;127153;908596,571284108;358643,23233841;550620;253005,10097687;0,635466513342847;2854,88463631988
