ID;P03;P04;P05;P06;P071;P072;P073;P08;P091;P092;P093;P094;P095;P096;P097;P098;P10;P11;P12;P13;P14;P15;P16;P17;P181;P182;P183;P184;P185;P186;P19;P2001;P2002;P2003;P2004;P2005;P2006;P2007;P2008;P2009;P2010;P211;P212;P213;P214;P215;P216;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P33;P35;VD_IDADE;VD_RENDA;VD_RELIGIÃO;VD_RACA;W1;W2
1;4;3;1;2;2;2;1;2;2;2;2;1;2;2;2;2;2;1;2;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;1;4;1;3;0.7152711728;57145.2
2;4;2;1;2;2;1;2;2;2;1;2;1;1;2;2;2;2;1;1;2;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;8;1;1;1;1;0.7152711728;57145.2
3;4;2;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;7;1;1;2;1;2;1;2;1;2;2;2;1;2;2;2;2;2;2;1;2;1;2;1;2;8;2;;;4;;;;2;1;2;3;1;97;2;3;0.7152711728;57145.2
4;4;2;1;1;1;2;1;2;1;1;2;1;2;2;2;2;2;1;1;1;1;1;7;1;1;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;4;1;2;;9;;;;1;4;3;5;1;2;1;3;0.7152711728;57145.2
5;4;3;2;1;2;2;1;2;2;1;2;2;1;1;2;2;3;1;1;1;1;1;7;1;1;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;2;;4;;;;3;4;2;1;5;4;2;3;0.7152711728;57145.2
6;2;2;2;3;2;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;1;1;7;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;1;2;1;1;0.910494498;68850.1052631579
7;2;3;3;1;1;2;2;2;1;2;2;1;2;2;2;2;3;1;2;2;1;1;8;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;2;1;3;0.910494498;68850.1052631579
8;2;2;2;1;1;2;2;2;2;1;2;2;2;1;2;2;2;1;1;2;1;1;8;97;;;;;;;1;2;2;2;1;2;2;2;2;2;1;2;1;1;2;1;2;1;2;;;2;;4;;4;3;3;5;2;3;1;1;0.910494498;68850.1052631579
9;2;3;3;1;2;2;1;3;1;2;2;1;2;2;2;2;2;1;1;1;1;1;7;1;1;2;1;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;2;3;2;1;0.910494498;68850.1052631579
10;2;3;1;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;4;3;1;3;0.910494498;68850.1052631579
11;2;2;1;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;4;4;1;1;0.910494498;68850.1052631579
12;2;2;2;1;2;2;1;2;1;1;2;1;1;1;1;2;2;1;1;2;1;1;3;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;2;4;1;1;0.910494498;68850.1052631579
13;2;3;1;2;2;2;1;3;2;2;2;2;2;1;2;2;2;1;1;2;1;1;3;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;3;1;1;0.910494498;68850.1052631579
14;2;2;1;1;2;2;1;2;2;2;2;1;2;2;1;2;3;1;1;1;1;97;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;9;;2;;4;;;;2;1;2;5;1;2;1;3;0.910494498;68850.1052631579
15;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;1;2;1;1;1;7;1;1;2;2;2;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;5;1;3;1;3;0.910494498;68850.1052631579
16;2;3;2;1;1;2;2;3;1;2;2;2;2;2;2;2;3;1;3;1;1;1;7;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;2;1;1;0.910494498;68850.1052631579
17;2;2;3;3;1;1;1;2;1;1;2;1;2;1;2;2;1;1;1;1;1;1;7;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;3;1;1;0.910494498;68850.1052631579
18;2;2;1;1;1;2;1;2;2;1;2;2;2;2;1;2;2;1;2;1;1;2;;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;3;2;3;0.910494498;68850.1052631579
19;2;2;1;1;1;1;2;2;2;1;2;1;2;2;2;2;3;1;2;2;1;1;7;1;1;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;2;2;1;2;0.910494498;68850.1052631579
